"Designator","Comment","Footprint","LCSC#"
"220VAC, PVin","","HDRV2W140P500_2X1_1000X270H960",""
"C1, C2, C3, C4","100nF","CAP_0805","C282730"
"C5","","CAPP_1206_L","C500092"
"C6","10uF","CAP_0805","C380331"
"D1, D3, D5, D7, D9","","LED_0805(2012 Metric)_M_Red","C965817"
"D2, D4, D6, D8, D10, D11, D12","","SOD-123","C917030"
"F1","","FUSE_0805_L","C516070"
"F2, F3, F4, F5, F6","","FUSE_1210_L","C269167"
"J1, J2, J3, J4, J5, J6","","CUI_PJ-002B","C500092"
"K6, K7","","ZF112",""
"LCD, RELAY","","Header4x1",""
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8","","SOT23","C351407"
"R1, R2, R5, R8, R11, R14, R23, R24, R25","2.2k","RES_0805","C3152195"
"R3, R6, R9, R12, R15, R17, R19, R21, R22","330","RES_0805","C17630"
"R4, R7, R10, R13, R16, R18, R20","10k","RES_0805","C3152175"
"R36","","RES-7.62/4x1.5",""
"U1","","NodeMCU","C3152195"
"U2","","SOT223-4","C5181462"
"U3","","SOT-563","C99269"
"U7","","HDR-1x3",""
